Own BIC	Correspondent	Service	R. Status		R. Validity	R. Start Date	R. End Date		R. Restr.	R. Trans.	S. Status	S. Validity	S. Start Date	S. End Date	S. Restr.
POBNSKBA	ABANSI2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ABBYGB2L	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	ABNACZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ABNANL2A	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ABNASKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	AEIBDEFX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	AEIBUS33	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	AGBACZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	AGRIFRPP	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	AKBBBY2X	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	ALECEGAL	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Expired	2013/03/13 GMT	2014/03/13 GMT	
POBNSKBA	ALEIGB22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ANDLTRIS	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	ANTBIT2P	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ASPKAT2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ASYATRIS	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	AVALUAUK	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BACXCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BACXHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BACXROBU	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BAKOSI2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BAMAIT3A	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BANVDEHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BAPPIT22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BAWAATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BAWACZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BBPIESMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BBRUBEBB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BCEYIN5M	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BCEYLKLX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BCITIT22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BCITIT33	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BCITITMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BELBBY2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BEPOIT22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BGLLLULL	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BIGBPLPW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BIKEJPJS	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BKAUATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BKCHCNBJ	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BKRCRUMM	swift.fin									Enabled	Valid			
POBNSKBA	BKTRGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BKTRUS33	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BLOPIT22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BNALDZAL	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BNDCCAMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BNLIITRR	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BNPABGSX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BNPAFRPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BNPAHUHX	swift.fin									Enabled	Valid			
POBNSKBA	BOFIIE2D	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BOTKJPJT	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BPHKPLPK	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BPKOPLPW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BPOSROBU	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BPOUIT22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BPPBCHGG	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	BPVIIT22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BPVIIT3T	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BREDFRPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BREXPLPW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BSABESBB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BSCHDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BSCHESMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BSILCH22	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	BSLOSK22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	BUDAHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
