2014-12-05 07:00:37,262 INFO [eurogiro-put] eurogiro-put [SftpFileHandler.java:623] Logger for eurogiro-put was saccessfully started
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:85] Fri Dec 05 07:00:37 CET 2014, 1417759237637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:86] -----------------------------------
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 07:00:37 CET 2014, 1417759237637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 07:10:37 CET 2014, 1417759837637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 07:20:37 CET 2014, 1417760437637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 07:30:37 CET 2014, 1417761037637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 07:40:37 CET 2014, 1417761637637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 07:50:37 CET 2014, 1417762237637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 08:00:37 CET 2014, 1417762837637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 08:10:37 CET 2014, 1417763437637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 08:20:37 CET 2014, 1417764037637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 08:30:37 CET 2014, 1417764637637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 08:40:37 CET 2014, 1417765237637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 08:50:37 CET 2014, 1417765837637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 09:00:37 CET 2014, 1417766437637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 09:10:37 CET 2014, 1417767037637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 09:20:37 CET 2014, 1417767637637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 09:30:37 CET 2014, 1417768237637
2014-12-05 07:00:37,637 DEBUG [eurogiro-put] eurogiro-put [SftpFileHandler.java:89] Fri Dec 05 09:40:37 CET 2014, 1417768837637
