2014-12-05 07:00:37,231 INFO [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:623] Logger for eurogiro-sftp was saccessfully started
2014-12-05 07:00:37,637 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:85] Fri Dec 05 07:00:37 CET 2014, 1417759237637
2014-12-05 07:00:37,637 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:86] -----------------------------------
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 08:40:37 CET 2014, 1417765237637
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 10:20:37 CET 2014, 1417771237637
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 11:00:00 CET 2014, 1417773600000
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 11:30:00 CET 2014, 1417775400000
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 12:00:00 CET 2014, 1417777200000
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 12:00:37 CET 2014, 1417777237637
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 12:30:00 CET 2014, 1417779000000
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 13:00:00 CET 2014, 1417780800000
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 13:30:00 CET 2014, 1417782600000
2014-12-05 07:00:37,684 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 05 13:40:37 CET 2014, 1417783237637
